Checkpoint,Epoch,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss
Last epoch,45,1.1572,11.1406,0.6205,2.0005,0.0272,18.3256,0.5720,0.7500,0.6563,0.3547,0.6630,0.1644,0.1722,0.0394,1.1911,12.9148,0.7043,1.4519,0.0393,0.0000
Best epoch,45,1.1572,11.1406,0.6205,2.0005,0.0272,18.3256,0.5720,0.7500,0.6563,0.3547,0.6630,0.1644,0.1722,0.0394,1.1911,12.9148,0.7043,1.4519,0.0393,0.0000
