epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,1521.18,1.21845,12.0747,0.63379,2.11671,0.029,19.6621,0.78445,0.625,0.69785,0.33558,0.59213,0.08333,0.07839,0.02648,1.20973,15.6867,0.70919,1.66456,0.04084,0,0.00022575,0.00022575,0.00022575
27,1578.12,1.20307,11.8333,0.63806,2.09082,0.02829,20.55,0.60451,0.6372,0.64227,0.31953,0.09374,0.08333,0.03105,0.0154,1.21286,15.5688,0.74564,1.44966,0.04287,0,0.00022278,0.00022278,0.00022278
28,1635.42,1.20536,11.638,0.63429,2.149,0.02869,19.6187,0.68184,0.58333,0.55217,0.29002,0.00099,0.04167,0.00067,0.00013,1.23355,16.4258,0.76843,1.83444,0.04396,0,0.00021981,0.00021981,0.00021981
29,1691.96,1.18685,12.0616,0.64135,2.13461,0.02781,20.196,0.70273,0.625,0.64005,0.2855,0.42292,0.125,0.09661,0.03782,1.25702,14.7289,0.70031,1.76122,0.04312,0,0.00021684,0.00021684,0.00021684
30,1749.9,1.18341,11.8789,0.63685,2.10503,0.02785,19.5818,0.83677,0.58333,0.72523,0.32683,0.37215,0.20833,0.12314,0.02854,1.27529,14.0672,0.67907,1.6268,0.04264,0,0.00021387,0.00021387,0.00021387
31,1811.24,1.17692,12.0421,0.63354,2.08025,0.0277,20.2729,0.86795,0.66667,0.70698,0.33135,0.10927,0.08333,0.05077,0.02485,1.22387,15.0709,0.7099,1.60085,0.04291,0,0.0002109,0.0002109,0.0002109
32,1869.42,1.17139,11.9692,0.63799,2.0672,0.0268,19.6755,0.74948,0.54167,0.62521,0.33581,0.22439,0.04167,0.01753,0.00674,1.0271,14.5336,0.71952,1.76195,0.03475,0,0.00020793,0.00020793,0.00020793
33,1926,1.15101,11.872,0.6398,2.04786,0.02755,19.2364,0.64913,0.5,0.58471,0.32864,0.16821,0.08333,0.03582,0.0082,1.23068,14.6859,0.7129,1.56112,0.04149,0,0.00020496,0.00020496,0.00020496
34,1982.57,1.18298,11.653,0.63342,2.08974,0.02822,19.9655,0.80836,0.52786,0.62458,0.34143,0.38495,0.08333,0.04786,0.02103,1.12142,14.398,0.68821,1.6424,0.03707,0,0.00020199,0.00020199,0.00020199
35,2039.2,1.15343,11.5536,0.63028,1.98611,0.02671,19.2826,0.57624,0.625,0.61636,0.36693,0.47539,0.08333,0.04579,0.0248,1.11608,14.8146,0.75057,1.55731,0.03756,0,0.00019902,0.00019902,0.00019902
36,2095.88,1.16247,11.5747,0.64456,1.96278,0.02835,19.2708,0.72124,0.53917,0.64098,0.37398,0.21903,0.125,0.064,0.0138,1.08181,14.7062,0.72089,1.66332,0.03488,0,0.00019605,0.00019605,0.00019605
37,2152.47,1.16498,11.5179,0.63765,2.0159,0.02723,19.1021,0.53605,0.57788,0.58703,0.29261,0.63503,0.08333,0.05847,0.01627,1.23052,15.559,0.75534,1.82702,0.04142,0,0.00019308,0.00019308,0.00019308
38,2209.15,1.17578,11.4251,0.63456,2.05855,0.02746,19.0315,0.54791,0.58333,0.5547,0.26641,0.20747,0.125,0.07126,0.02248,1.32772,14.6817,0.73928,1.92877,0.04783,0,0.00019011,0.00019011,0.00019011
39,2269.27,1.15707,11.2888,0.63484,2.02391,0.02708,18.6045,0.72122,0.5,0.63594,0.3241,0.63478,0.08333,0.07398,0.01896,1.1808,14.5216,0.72197,1.54615,0.04095,0,0.00018714,0.00018714,0.00018714
40,2331.66,1.14613,11.493,0.62908,1.93741,0.02701,18.3348,0.7133,0.62214,0.61981,0.33866,0.13024,0.08333,0.05605,0.02578,1.15348,14.4087,0.68802,1.48367,0.04043,0,0.00018417,0.00018417,0.00018417
41,2392.47,1.17557,11.5878,0.63614,2.00513,0.02753,18.8631,0.71286,0.70833,0.67987,0.33267,0.16552,0.16667,0.05819,0.02163,1.25173,13.6452,0.74037,1.53202,0.04249,0,0.0001812,0.0001812,0.0001812
42,2453.34,1.16535,11.5397,0.63172,1.96349,0.02745,18.5623,0.83235,0.54167,0.68262,0.35641,0.19327,0.125,0.06452,0.01701,1.12443,13.9597,0.7603,1.57321,0.03674,0,0.00017823,0.00017823,0.00017823
43,2513.66,1.14664,11.5598,0.63041,1.95653,0.02687,17.8825,0.62376,0.66667,0.62921,0.30683,0.29886,0.20833,0.14269,0.0494,1.40633,13.7924,0.71183,1.51404,0.04938,0,0.00017526,0.00017526,0.00017526
44,2574.43,1.14075,11.249,0.62982,1.94603,0.02723,18.3431,0.78947,0.54167,0.58098,0.3144,0.34455,0.08333,0.07255,0.02566,1.20522,13.0735,0.68135,1.66722,0.04396,0,0.00017229,0.00017229,0.00017229
45,2634.87,1.15719,11.1406,0.62048,2.00047,0.02723,18.3256,0.57204,0.75,0.65632,0.35466,0.663,0.16437,0.17217,0.03937,1.19115,12.9148,0.70427,1.45185,0.03934,0,0.00016932,0.00016932,0.00016932
